Quantity ,Value,Unit Price $,Total price $,price with coupns,Link,running total,running total with coupons,notes,Customer number
10,1k resistor,0.026,0.26,0.26,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT1K00/1741314,0.28,0.28,,1
10,10k resistor,0.035,0.35,0.35,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=691104,0.65,0.65,order in multibles of ten,2
1,100k resistor,0.0072,0.0072,0.0072,https://www.lcsc.com/product-detail/C1367560.html,0.66,0.66,,3
30,470 resisrer,0.0333,0.999,0.999,https://www.lcsc.com/product-detail/C1369132.html?s_z=h_Passives%257CResistors%257CThrough%2520Hole%2520Resistors,1.72,1.72,order in multibles of ten,4
1,1M resistor,0.1,0.1,0.1,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT1M00/1741316,1.83,1.83,,5
1,1M potentiometer,1.29,1.29,1.29,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=2161422,3.2,3.2,,6
10,0.01 uF cap,0.2494,2.494,2.494,https://www.lcsc.com/product-detail/C710551.html?s_z=n_DE2E3SA103MN7AT02F,5.84,5.84,order in multibles of five,7
70,0.1 uf cap,0.0502,3.514,3.514,https://www.lcsc.com/product-detail/C2693793.html,9.56,9.56,order in multibles of ten,8
1,1 uf cap,0.0434,0.0434,0.0434,https://www.lcsc.com/product-detail/C1620550.html,9.61,9.61,order in multibles of ten,9
5,555 timer,0.2706,1.353,1.353,https://www.lcsc.com/product-detail/C129708.html?s_z=n_SA555p,11.04,11.04,order in multiples of five,10
2,74LS00,0.5893,1.1786,1.1786,https://www.lcsc.com/product-detail/C181629.html?s_z=n_SN74LS00N,12.29,12.29,,11
1,74LS02,0.63,0.63,0.63,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=46287,12.96,12.96,,12
5,74ls04,0.1965,0.9825,0.9825,https://www.lcsc.com/product-detail/C42395516.html?s_z=n_SN74LS04N,14,14,,13
3,74ls08,0.4969,1.4907,1.4907,https://www.lcsc.com/product-detail/C2869595.html?s_z=n_SN74LS08N,15.58,15.58,,14
1,74ls32,0.5979,0.5979,0.5979,https://www.lcsc.com/product-detail/C2865704.html?s_z=n_SN74LS32N,16.21,16.21,,15
1,74ls107,0.7085,0.7085,0.7085,https://www.lcsc.com/product-detail/C22466323.html,16.96,16.96,,16
2,74ls86,0.7,1.4,1.4,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&pa=48098&productId=48098,18.44,18.44,,17
1,74LS138,0.85,0.85,0.85,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=46607,19.34,19.34,,18
1,74LS139,0.75,0.75,0.75,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=46623,20.14,20.14,,19
1,74LS157,0.4148,0.4148,0.4148,https://www.lcsc.com/product-detail/C2863363.html?s_z=n_74LS157,20.58,20.58,,20
2,74ls161,0.5354,1.0708,1.0708,https://www.lcsc.com/product-detail/C609766.html?s_z=n_74LS161,21.72,21.72,,21
8,74ls173,0.99,7.92,7.92,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=46922,30.12,30.12,,22
2,SN74189N,2.984,5.968,5.968,https://www.lcsc.com/product-detail/C1550125.html?s_z=n_SN74LS173AN,36.45,36.45,,23
6,74ls245,0.7227,4.3362,4.3362,https://www.lcsc.com/product-detail/C7753.html?s_z=n_SN74LS245N,41.05,41.05,,24
1,74ls273,0.7215,0.7215,0.7215,https://www.lcsc.com/product-detail/C2879026.html?s_z=n_SN74LS273N,41.81,41.81,,25
2,74ls283,1.95,3.9,3.9,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=47423,45.94,45.94,,26
3,AT28C64B-15PU,5.5,16.5,16.5,https://www.digikey.com/en/products/detail/microchip-technology/AT28C64B-15PU/1008529?s=N4IgTCBcDaIIIBUwA4DCA2ALAIQLQEYBWABQFUQBdAXyA,63.43,63.43,,27
3,Double-throw toggle switch,0.66,1.98,1.98,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?history=&catalogId=10001&langId=-1&freeText=2258831&storeId=10001&productId=2258831,65.53,65.53,,28
3,Momentary 6mm tact switch,0.25,0.75,0.75,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=149948,66.33,66.33,,29
1,8-position DIP switch,1.04,1.04,1.04,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&productId=38842,67.43,67.43,,30
1,4-position DIP switch,0.59,0.59,0.59,https://www.digikey.com/en/products/detail/cts-electrocomponents/210-4MS/2503781,68.06,68.06,,31
44,Red LED,0.083,3.652,3.652,https://www.digikey.com/en/products/detail/american-bright-optoelectronics-corporation/BL-BUF3V1L/22486898,71.93,71.93,,32
