"Qty","Value","DNP","Footprint","Datasheet","MANUFACTURER","#"
"6","0.01 µF","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","1"
"1","1 µF","","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","","","2"
"12","0.1 µF","","","~","","3"
"3","0.01 µF","","","~","","4"
"1","BLUE","","LED_THT:LED_D3.0mm","~","","5"
"8","RED","","LED_THT:LED_D3.0mm","~","","6"
"14","LED","","","~","","7"
"9","LED","","LED_THT:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm","~","","8"
"12","RED","","","~","","9"
"9","GREEN","","","~","","10"
"16","BLUE","","","~","","11"
"3","1K","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","12"
"3","R","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","13"
"1","220","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","14"
"58","220","","","~","","15"
"3","1K","","","~","","16"
"2","1k","","","~","","17"
"1","100k","","","~","","18"
"9","10k","","","~","","19"
"1","1M","","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~","","20"
"3","SW_Push","","","~","","21"
"3","SW_SPDT","","","~","","22"
"1","SW_DIP_x04","","","~","","23"
"1","SW_DIP_x08","","","~","","24"
"4","LM555xM","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm555.pdf","","25"
"2","74LS08","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS08","","26"
"1","74LS04","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS04","","27"
"1","74LS32","","","http://www.ti.com/lit/gpn/sn74LS32","","28"
"5","74LS245","","","http://www.ti.com/lit/gpn/sn74LS245","","29"
"5","74LS173","","","http://www.ti.com/lit/gpn/sn74LS173","","30"
"1","74LS02","","","http://www.ti.com/lit/gpn/sn74ls02","","31"
"1","74LS173","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS173","","32"
"2","74LS283","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS283","","33"
"2","74LS86","","","74xx/74ls86.pdf","","34"
"4","74LS157","","","http://www.ti.com/lit/gpn/sn74LS157","","35"
"2","74189","","","https://eater.net/datasheets/74189.pdf","","36"
"2","74LS00","","","http://www.ti.com/lit/gpn/sn74ls00","","37"
"4","74LS04","","","http://www.ti.com/lit/gpn/sn74LS04","","38"
"2","74LS161","","","http://www.ti.com/lit/gpn/sn74LS161","","39"
"1","74LS76","","","http://www.ti.com/lit/gpn/sn74LS76","","40"
"1","74LS139","","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","","41"
"4","D148K","","Display_7Segment:D1X8K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","","42"
"1","74LS273","","","http://www.ti.com/lit/gpn/sn74LS273","","43"
"1","74LS08","","","http://www.ti.com/lit/gpn/sn74LS08","","44"
"3","AT28C64B-15PU","","AT28C64B_15PU:DIP1555W45P254L3733H482Q28","https://ww1.microchip.com/downloads/en/DeviceDoc/doc0270.pdf","Microchip Technology","45"
"1","74LS138","","","http://www.ti.com/lit/gpn/sn74LS138","","46"
